,Longitude (x),Latitude (y),Year,Month,Day,Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,Date
0,-79.4,43.63,2017.0,1,1,00:00:00,1.5,-3.6,69.0,26.0,39.0,16.1,99.81,Clear-OR-Cloudy,2017-01-01 00:00:00
1,-79.4,43.63,2017.0,1,1,01:00:00,1.5,-3.9,67.0,27.0,35.0,16.1,100.01,Clear-OR-Cloudy,2017-01-01 01:00:00
2,-79.4,43.63,2017.0,1,1,03:00:00,1.2,-4.3,67.0,26.0,37.0,16.1,100.32,Clear-OR-Cloudy,2017-01-01 03:00:00
3,-79.4,43.63,2017.0,1,1,04:00:00,1.3,-4.4,66.0,26.0,28.0,16.1,100.48,Clear-OR-Cloudy,2017-01-01 04:00:00
4,-79.4,43.63,2017.0,1,1,05:00:00,1.0,-4.1,69.0,23.0,30.0,16.1,100.55,Clear-OR-Cloudy,2017-01-01 05:00:00
5,-79.4,43.63,2017.0,1,1,06:00:00,0.7,-4.4,69.0,24.0,35.0,16.1,100.65,Clear-OR-Cloudy,2017-01-01 06:00:00
6,-79.4,43.63,2017.0,1,1,07:00:00,0.0,-4.8,70.0,24.0,28.0,16.1,100.79,Clear-OR-Cloudy,2017-01-01 07:00:00
7,-79.4,43.63,2017.0,1,1,08:00:00,-0.3,-5.3,69.0,25.0,26.0,16.1,100.93,Clear-OR-Cloudy,2017-01-01 08:00:00
8,-79.4,43.63,2017.0,1,1,09:00:00,-0.1,-5.5,67.0,27.0,26.0,16.1,101.06,Clear-OR-Cloudy,2017-01-01 09:00:00
9,-79.4,43.63,2017.0,1,1,10:00:00,1.0,-5.2,63.0,25.0,22.0,16.1,101.18,Clear-OR-Cloudy,2017-01-01 10:00:00
10,-79.4,43.63,2017.0,1,1,11:00:00,1.9,-5.3,59.0,25.0,26.0,16.1,101.27,Clear-OR-Cloudy,2017-01-01 11:00:00
11,-79.4,43.63,2017.0,1,1,12:00:00,2.6,-5.3,56.0,23.0,18.0,16.1,101.22,Clear-OR-Cloudy,2017-01-01 12:00:00
12,-79.4,43.63,2017.0,1,1,13:00:00,2.6,-5.8,54.0,23.0,18.0,16.1,101.23,Clear-OR-Cloudy,2017-01-01 13:00:00
13,-79.4,43.63,2017.0,1,1,14:00:00,3.0,-5.5,54.0,23.0,17.0,16.1,101.21,Clear-OR-Cloudy,2017-01-01 14:00:00
14,-79.4,43.63,2017.0,1,1,15:00:00,2.9,-5.4,54.0,23.0,15.0,16.1,101.29,Clear-OR-Cloudy,2017-01-01 15:00:00
15,-79.4,43.63,2017.0,1,1,16:00:00,2.8,-4.9,57.0,23.0,21.0,16.1,101.38,Clear-OR-Cloudy,2017-01-01 16:00:00
16,-79.4,43.63,2017.0,1,1,17:00:00,1.8,-4.9,61.0,22.0,15.0,16.1,101.45,Clear-OR-Cloudy,2017-01-01 17:00:00
17,-79.4,43.63,2017.0,1,1,18:00:00,2.2,-4.6,61.0,23.0,18.0,16.1,101.59,Clear-OR-Cloudy,2017-01-01 18:00:00
18,-79.4,43.63,2017.0,1,1,19:00:00,1.2,-3.5,71.0,25.0,11.0,16.1,101.6,Clear-OR-Cloudy,2017-01-01 19:00:00
