Longitude (x),Latitude (y),Year,Month,Day,Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,Is Row Missing Value,% Of Dataset That Contains Missing Values
-79.4,43.63,2020,1,1,00:00:00,0.2,-3.7,75,25,35,16.1,99.3,No Precipitation or Fog,,5
-79.4,43.63,2020,1,1,01:00:00,0.1,-4,74,25,34,16.1,99.33,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,02:00:00,0,-3.9,75,25,34,16.1,99.36,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,03:00:00,-0.2,-4.3,74,25,32,16.1,99.4,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,04:00:00,-0.2,-4.1,75,25,28,16.1,99.45,Snow,,
-79.4,43.63,2020,1,1,05:00:00,-0.2,-4.3,74,25,32,16.1,99.44,Snow,,
-79.4,43.63,2020,1,1,06:00:00,-0.3,-4,76,25,32,16.1,99.49,Snow,,
-79.4,43.63,2020,1,1,07:00:00,-0.3,-4.3,75,25,30,16.1,99.53,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,08:00:00,-0.3,-4.5,73,25,28,16.1,99.61,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,09:00:00,-0.3,-3.8,77,25,28,16.1,99.67,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,10:00:00,0.4,-3.6,74,25,32,16.1,99.75,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,11:00:00,0.2,-3.8,75,25,34,16.1,99.79,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,12:00:00,0.3,-4.4,71,25,37,16.1,99.76,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,13:00:00,0.1,-4.9,69,25,35,16.1,99.75,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,14:00:00,-0.1,-6,65,27,30,16.1,99.75,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,15:00:00,-0.4,-6.6,63,26,30,16.1,99.8,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,16:00:00,-0.1,-6,65,24,30,16.1,99.83,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,17:00:00,-0.3,-6.7,62,25,32,16.1,99.94,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,18:00:00,-0.7,-6.6,65,24,21,16.1,99.95,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,19:00:00,-0.5,-4.9,72,23,28,16.1,99.93,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,20:00:00,-0.4,-5,71,24,28,16.1,99.93,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,21:00:00,0.1,-3.2,78,23,26,16.1,99.9,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,22:00:00,-0.3,-3,82,24,15,16.1,99.86,No Precipitation or Fog,,
-79.4,43.63,2020,1,1,23:00:00,0.7,-1.5,85,21,21,16.1,99.85,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,00:00:00,0.5,-1.7,85,25,9,16.1,99.78,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,01:00:00,1.7,-1.2,81,23,28,16.1,99.74,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,02:00:00,2.3,-0.5,82,23,22,16.1,99.66,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,03:00:00,2.6,-0.2,82,25,24,16.1,99.73,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,04:00:00,3.2,0.1,80,22,22,16.1,99.69,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,05:00:00,3.2,1.1,86,20,15,16.1,99.7,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,06:00:00,3.3,0.7,83,20,21,16.1,99.65,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,07:00:00,3.4,0.6,82,22,21,16.1,99.67,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,08:00:00,3.6,0.5,80,21,21,16.1,99.65,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,09:00:00,3.8,0.4,78,22,22,16.1,99.67,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,10:00:00,4.3,0.3,75,21,21,16.1,99.66,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,11:00:00,4.1,0.3,76,23,24,16.1,99.64,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,12:00:00,4.6,0.4,74,21,28,16.1,99.55,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,13:00:00,4.5,0.5,75,21,32,16.1,99.48,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,14:00:00,4.7,0.7,75,21,32,16.1,99.4,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,15:00:00,4.7,0.7,75,21,30,16.1,99.42,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,16:00:00,4.6,0.7,76,20,26,16.1,99.44,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,17:00:00,4.8,0.9,76,21,26,16.1,99.48,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,18:00:00,4.6,1.3,79,22,17,16.1,99.49,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,19:00:00,4.1,1.6,84,25,11,16.1,99.61,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,20:00:00,4.3,1.7,83,25,5,16.1,99.58,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,21:00:00,4.2,2.1,86,21,18,16.1,99.56,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,22:00:00,3.8,2.2,89,21,15,16.1,99.56,No Precipitation or Fog,,
-79.4,43.63,2020,1,2,23:00:00,3.2,2.2,93,26,13,16.1,99.54,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,00:00:00,3,2,93,25,15,16.1,99.53,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,01:00:00,4.1,2.3,88,25,17,16.1,99.58,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,02:00:00,3.9,2.4,90,24,15,16.1,99.65,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,03:00:00,3.6,2.4,92,24,11,16.1,99.58,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,04:00:00,3.6,2.6,93,27,9,16.1,99.6,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,05:00:00,3.4,2.7,95,26,8,16.1,99.58,No Precipitation or Fog,,
-79.4,43.63,2020,1,3,06:00:00,4.2,3.2,93,27,13,16.1,99.62,No Precipitation or Fog,,
