Source.Name,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 0:00,2018,1,1,12:00:00 AM,-16.2,,-20.5,,70,,31,,8,,16.1,,102.13,,,,-22,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 1:00,2018,1,1,1:00:00 AM,-16.8,,-21.1,,70,,,M,4,,16.1,,102.1,,,,-20,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 2:00,2018,1,1,2:00:00 AM,-17.3,,-20.8,,75,,29,,15,,16.1,,102.15,,,,-26,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 3:00,2018,1,1,3:00:00 AM,-17.9,,-21.6,,73,,31,,9,,16.1,,102.13,,,,-24,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 4:00,2018,1,1,4:00:00 AM,-17.2,,-21.1,,72,,31,,5,,16.1,,102.09,,,,-21,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 5:00,2018,1,1,5:00:00 AM,-16.1,,-20.1,,72,,31,,5,,16.1,,102.03,,,,-20,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 6:00,2018,1,1,6:00:00 AM,-15.7,,-19.5,,73,,,,0,,16.1,,101.99,,,,,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 7:00,2018,1,1,7:00:00 AM,-14.4,,-17.6,,77,,7,,5,,16.1,,101.91,,,,-18,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 8:00,2018,1,1,8:00:00 AM,-13.7,,-16.8,,78,,27,,17,,16.1,,101.87,,,,-22,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 9:00,2018,1,1,9:00:00 AM,-12.7,,-16.3,,75,,28,,18,,16.1,,101.81,,,,-21,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 10:00,2018,1,1,10:00:00 AM,-11.3,,-16.1,,68,,27,,32,,16.1,,101.8,,,,-22,,NA
en_climate_hourly_ON_6158359_01-2018_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2018-01-01 11:00,2018,1,1,11:00:00 AM,-9.8,,-14.5,,69,,25,,37,,16.1,,101.78,,,,-20,,NA
